path,label
python-api/evaluation_data/images/fake_478_506_f20.jpg,FAKE
python-api/evaluation_data/images/fake_479_706_f18.jpg,FAKE
python-api/evaluation_data/images/fake_480_389_f13.jpg,FAKE
python-api/evaluation_data/images/fake_481_469_f36.jpg,FAKE
python-api/evaluation_data/images/fake_482_465_f30.jpg,FAKE
python-api/evaluation_data/images/fake_488_399_f9.jpg,FAKE
python-api/evaluation_data/images/fake_490_534_f14.jpg,FAKE
python-api/evaluation_data/images/fake_516_555_f7.jpg,FAKE
python-api/evaluation_data/images/fake_517_521_f20.jpg,FAKE
python-api/evaluation_data/images/fake_520_542_f10.jpg,FAKE
python-api/evaluation_data/images/real_004_f0.jpg,REAL
python-api/evaluation_data/images/real_005_f35.jpg,REAL
python-api/evaluation_data/images/real_008_f25.jpg,REAL
python-api/evaluation_data/images/real_009_f16.jpg,REAL
python-api/evaluation_data/images/real_010_f0.jpg,REAL
python-api/evaluation_data/images/real_013_f14.jpg,REAL
python-api/evaluation_data/images/real_014_f33.jpg,REAL
python-api/evaluation_data/images/real_015_f6.jpg,REAL
python-api/evaluation_data/images/real_027_f1.jpg,REAL
python-api/evaluation_data/images/real_031_f39.jpg,REAL
